DataStream0,DataStream1,DataStream2,DataStream3,DataStream4,DataStream5,DataStream6,DataStream7,DataStream8,DataStream9,DataStream10,DataStream11,DataStream12,DataStream13,DataStream14,DataStream15,DataStream16,
76.0,0.0,447.0,4138.461538461539,3741.0256410256416,4327.179487179487,5734.3589743589755,3950.2564102564106,4162.051282051282,3884.1025641025644,4288.205128205129,4129.74358974359,4068.205128205129,4356.410256410257,4091.7948717948725,3691.794871794872,4035.3846153846157,
77.0,0.0,438.0,4145.641025641026,3751.2820512820517,4329.743589743591,5733.333333333334,3955.8974358974365,4185.128205128206,3895.3846153846157,4293.333333333334,4140.512820512821,4063.589743589744,4366.153846153847,4096.923076923077,3691.794871794872,4042.564102564103,
78.0,0.0,478.0,4127.179487179487,3735.3846153846157,4313.333333333334,5731.794871794873,3956.9230769230776,4150.769230769231,3880.0000000000005,4286.153846153847,4131.794871794872,4048.205128205129,4355.8974358974365,4088.717948717949,3674.8717948717954,4029.7435897435903,
79.0,0.0,465.0,4114.358974358975,3729.2307692307695,4300.000000000001,5730.769230769231,3956.410256410257,4145.128205128206,3868.717948717949,4272.820512820514,4114.358974358975,4044.615384615385,4341.538461538462,4076.9230769230776,3663.0769230769233,4020.0000000000005,
80.0,0.0,447.0,4120.512820512821,3737.435897435898,4304.102564102564,5729.2307692307695,3951.7948717948725,4183.589743589744,3892.307692307693,4277.435897435898,4118.461538461539,4035.8974358974365,4337.948717948719,4071.7948717948725,3664.615384615385,4023.076923076924,
81.0,0.0,438.0,4111.794871794872,3725.6410256410263,4297.948717948719,5726.153846153847,3945.6410256410263,4125.641025641026,3876.9230769230776,4261.025641025642,4093.8461538461543,4025.1282051282055,4323.589743589744,4058.9743589743593,3653.8461538461543,4009.7435897435903,
82.0,0.0,478.0,4100.512820512821,3712.820512820513,4292.307692307693,5725.128205128206,3941.538461538462,4075.8974358974365,3850.7692307692314,4241.538461538462,4060.5128205128212,4025.6410256410263,4315.8974358974365,4053.8461538461543,3642.0512820512827,3996.410256410257,
83.0,0.0,465.0,4123.589743589744,3738.461538461539,4317.948717948719,5722.564102564103,3943.589743589744,4171.282051282052,3896.9230769230776,4277.948717948719,4103.589743589744,4032.307692307693,4346.153846153847,4080.0000000000005,3665.6410256410263,4023.076923076924,
84.0,0.0,447.0,4147.179487179487,3769.2307692307695,4341.025641025642,5722.051282051283,3948.717948717949,4230.769230769231,3935.3846153846157,4320.000000000001,4156.923076923077,4049.7435897435903,4373.333333333334,4103.589743589744,3688.205128205129,4050.2564102564106,
85.0,0.0,438.0,4139.48717948718,3767.692307692308,4329.743589743591,5725.641025641026,3956.9230769230776,4168.717948717949,3906.1538461538466,4305.641025641026,4133.333333333334,4072.820512820513,4366.153846153847,4095.8974358974365,3682.564102564103,4042.0512820512827,
86.0,0.0,478.0,4137.435897435898,3764.615384615385,4322.564102564103,5727.179487179488,3960.5128205128212,4153.846153846154,3888.205128205129,4288.205128205129,4114.871794871796,4074.358974358975,4358.461538461539,4090.7692307692314,3682.564102564103,4037.435897435898,
87.0,0.0,465.0,4144.615384615385,3771.794871794872,4331.282051282052,5725.641025641026,3956.410256410257,4173.333333333334,3897.9487179487182,4304.102564102564,4145.641025641026,4059.48717948718,4361.025641025642,4098.974358974359,3684.1025641025644,4045.1282051282055,
88.0,0.0,447.0,4128.205128205129,3760.512820512821,4320.512820512821,5716.923076923078,3952.307692307693,4121.538461538462,3878.9743589743593,4302.051282051282,4140.000000000001,4047.1794871794878,4347.179487179487,4088.205128205129,3662.0512820512827,4027.692307692308,
